nodo,hora,pax
LineaD:1117,8,298
LineaD:1117,9,242
LineaD:1117,10,256
LineaD:1117,11,239
LineaD:1117,12,290
LineaD:1117,13,328
LineaD:1117,14,308
LineaD:1117,15,396
LineaD:1117,16,411
LineaD:1117,17,464
LineaD:1117,18,207
LineaD:1117,19,81
LineaD:1117,20,76
LineaD:1117,21,65
LineaD:1117,22,25
LineaD:1117,23,16
LineaD:1118,5,28
LineaD:1118,6,163
LineaD:1118,7,370
LineaD:1118,8,501
LineaD:1118,9,492
LineaD:1118,10,562
LineaD:1118,11,649
LineaD:1118,12,829
LineaD:1118,13,998
LineaD:1118,14,1062
LineaD:1118,15,1687
LineaD:1118,16,2275
LineaD:1118,17,3171
LineaD:1118,18,2162
LineaD:1118,19,864
LineaD:1118,20,553
LineaD:1118,21,389
LineaD:1118,22,165
LineaD:1118,23,17
LineaE:1119,5,24
LineaE:1119,6,120
LineaE:1119,7,161
LineaE:1119,8,169
LineaE:1119,9,173
LineaE:1119,10,239
LineaE:1119,11,273
LineaE:1119,12,371
LineaE:1119,13,435
LineaE:1119,14,518
