linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente
LineaA,HPT,SanPedrito,9,LineaA:1068,Miserere,1521.0,1067.0851077198595,8744.28052736618
LineaA,HPT,SanPedrito,10,LineaA:1067,Loria,182.4929570490345,457.64535212992865,8469.128132285286
LineaA,HPT,SanPedrito,11,LineaA:1066,CBarros,280.2674655344136,587.5870747803044,8161.808523039396
LineaA,HPT,SanPedrito,12,LineaA:1065,RJaneiro,228.8974023540752,841.1537722023107,7549.552153191161
LineaA,HPT,SanPedrito,13,LineaA:1064,Acoyte,235.0,1331.7521414487992,6452.800011742362
LineaA,HPT,SanPedrito,14,LineaA:1063,PJunta,146.615432302345,1312.9363653605578,5286.479078684149
LineaA,HPT,SanPedrito,15,LineaA:1062,Puan,48.0,531.2045058587908,4803.274572825358
LineaA,HPT,SanPedrito,16,LineaA:1061,Carabobo,95.0,965.1462148701972,3933.1283579551605
LineaA,HPT,SanPedrito,17,LineaA:1060,Flores,11.85062150420067,1328.199859421618,2616.7791200377433
LineaA,HPT,SanPedrito,18,LineaA:1059,SanPedrito,0.0,2616.779120037744,0.0
LineaB,HPM,Alem,1,LineaB:1093,Alem,0.0,4028.439267889576,0.0
LineaB,HPM,Alem,2,LineaB:1092,Florida,2.980151784863845,1837.9134688072168,4028.439267889575
LineaB,HPM,Alem,3,LineaB:1091,Pellegrini,524.3668307346948,2284.1848266700063,5863.372584911928
LineaB,HPM,Alem,4,LineaB:1090,Uruguay,64.92324622071149,1292.1285977302318,7623.19058084724
LineaB,HPM,Alem,5,LineaB:1089,CallaoB,134.0,1243.3072401939007,8850.395932356761
LineaB,HPM,Alem,6,LineaB:1088,Pasteur,87.0,690.8091946870513,9959.703172550662
LineaB,HPM,Alem,7,LineaB:1087,Pueyr,912.0,2125.3625091930135,10563.512367237714
LineaB,HPM,Alem,8,LineaB:1086,Gardel,326.0,206.33153932503092,11776.874876430727
LineaB,HPM,Alem,9,LineaB:1085,Medrano,643.0,336.5876744822944,11657.206415755758
LineaB,HPM,Alem,10,LineaB:1083,Gallardo,933.0,276.54907888590526,11350.794090238052
LineaB,HPM,Alem,11,LineaB:1084,Malabia,1208.0,293.8333963162744,10694.343169123958
LineaB,HPM,Alem,12,LineaB:1082,Dorrego,914.073097114186,79.61488757212537,9780.176565440233
LineaB,HPM,Alem,13,LineaB:1081,Lacroze,3072.276099913745,50.10335988487669,8945.718355898172
LineaB,HPM,Alem,14,LineaB:1080,Tronador,408.2190266323871,43.052688348566654,5923.545615869305
LineaB,HPM,Alem,15,LineaB:1079,LosIncas,1031.903057903999,21.32321127853253,5558.3792775854845
LineaB,HPM,Alem,16,LineaB:1078,Echeverria,864.4747834058946,1.444570663809407,4547.799430960018
LineaB,HPM,Alem,17,LineaB:1077,JMRosas,3684.769218217933,0.0,3684.769218217933
LineaB,HPM,JMRosas,1,LineaB:1093,Alem,1681.727674122787,0.0,1681.727674122787
LineaB,HPM,JMRosas,2,LineaB:1092,Florida,116.0198482151361,102.36563352296406,1695.381888814959
LineaB,HPM,JMRosas,3,LineaB:1091,Pellegrini,2174.633169265305,95.54050895569935,3774.4745491245644
LineaB,HPM,JMRosas,4,LineaB:1090,Uruguay,237.1006821381415,262.49675321951526,3749.078478043191
LineaB,HPM,JMRosas,5,LineaB:1089,CallaoB,361.0,278.09343840374504,3831.9850396394463
LineaB,HPM,JMRosas,6,LineaB:1088,Pasteur,204.0,229.02540160635039,3806.959638033096
LineaB,HPM,JMRosas,7,LineaB:1087,Pueyr,1336.08507001353,283.669256561669,4859.375451484957
LineaB,HPM,JMRosas,8,LineaB:1086,Gardel,125.0,270.6629258653279,4713.712525619629
LineaB,HPM,JMRosas,9,LineaB:1085,Medrano,246.0,581.4799830024581,4378.23254261717
LineaB,HPM,JMRosas,10,LineaB:1083,Gallardo,183.0,376.24066290499485,4184.991879712175
LineaB,HPM,JMRosas,11,LineaB:1084,Malabia,146.0,694.8934692428986,3636.098410469277
LineaB,HPM,JMRosas,12,LineaB:1082,Dorrego,33.459044287899,697.596891616255,2971.960563140921
LineaB,HPM,JMRosas,13,LineaB:1081,Lacroze,38.20541666349302,814.7912698431552,2195.3747099612588
LineaB,HPM,JMRosas,14,LineaB:1080,Tronador,7.780973367612985,561.6220747828783,1641.5336085459935
LineaB,HPM,JMRosas,15,LineaB:1079,LosIncas,14.09694209600133,458.07417574939797,1197.556374892597
LineaB,HPM,JMRosas,16,LineaB:1078,Echeverria,1.525216594105375,327.92710861719326,871.1544828695091
LineaB,HPM,JMRosas,17,LineaB:1077,JMRosas,0.0,871.1544828695095,0.0
LineaB,HPT,Alem,1,LineaB:1093,Alem,0.0,1742.7788053707318,-5.4569682106375694e-12
LineaB,HPT,Alem,2,LineaB:1092,Florida,50.62384364884062,625.1576889276286,1742.7788053707263
LineaB,HPT,Alem,3,LineaB:1091,Pellegrini,160.1224997450861,3212.114199840567,2317.312650649514
LineaB,HPT,Alem,4,LineaB:1090,Uruguay,177.9558660798258,484.5905331898872,5369.304350744995
LineaB,HPT,Alem,5,LineaB:1089,CallaoB,272.0,782.2250750988812,5675.939017855057
LineaB,HPT,Alem,6,LineaB:1088,Pasteur,284.0,399.64793695584177,6186.164092953938
LineaB,HPT,Alem,7,LineaB:1087,Pueyr,672.0,2014.4825435660375,6301.81202990978
LineaB,HPT,Alem,8,LineaB:1086,Gardel,720.0,391.51345172379257,7644.294573475819
LineaB,HPT,Alem,9,LineaB:1085,Medrano,861.0,350.24359974043017,7315.808025199612
LineaB,HPT,Alem,10,LineaB:1083,Gallardo,772.0,258.3299901403323,6805.051624940042
LineaB,HPT,Alem,11,LineaB:1084,Malabia,1060.0,305.40345501034847,6291.381615080374
LineaB,HPT,Alem,12,LineaB:1082,Dorrego,931.6245483736385,69.28097121806417,5536.785070090723
LineaB,HPT,Alem,13,LineaB:1081,Lacroze,1238.835234991092,71.25640371308579,4674.441492935149
