comp_origen,comp_destino,rango_horario,etapas,expandidas,expandidas_completas
LineaA:1059,LineaA:1060,7,4,4.89382303839733,3.6703672787979977
LineaA:1059,LineaA:1060,8,5,6.035332572377295,6.035332572377295
LineaA:1059,LineaA:1060,9,8,9.83077880471109,8.601931454122203
LineaA:1059,LineaA:1060,10,5,6.261848137042016,6.261848137042016
LineaA:1059,LineaA:1060,11,3,3.7573183213920154,3.7573183213920154
LineaA:1059,LineaA:1060,12,5,6.25170560552477,6.25170560552477
LineaA:1059,LineaA:1060,13,7,8.794435490263428,8.794435490263428
LineaA:1059,LineaA:1060,14,7,8.744165089663873,8.744165089663873
LineaA:1059,LineaA:1060,15,8,10.03939867964048,8.784473844685419
LineaA:1059,LineaA:1060,16,4,5.033543021644099,5.033543021644099
LineaA:1059,LineaA:1060,17,10,12.53418966173874,11.280770695564865
LineaA:1059,LineaA:1060,18,3,3.7936636374953316,3.7936636374953316
LineaA:1059,LineaA:1060,19,4,5.393596402821924,5.393596402821924
LineaA:1059,LineaA:1060,20,3,4.176889920424403,4.176889920424403
LineaA:1059,LineaA:1060,21,2,2.855360956856044,2.855360956856044
LineaA:1059,LineaA:1060,22,1,1.4263226225251542,1.4263226225251542
LineaA:1059,LineaA:1061,6,2,2.503669724770642,2.503669724770642
LineaA:1059,LineaA:1061,7,7,8.564190317195328,8.564190317195328
LineaA:1059,LineaA:1061,8,6,7.242399086852755,7.242399086852755
LineaA:1059,LineaA:1061,9,7,8.601931454122203,8.601931454122203
LineaA:1059,LineaA:1061,10,6,7.514217764450418,6.261848137042016
LineaA:1059,LineaA:1061,11,3,3.7573183213920154,3.7573183213920154
LineaA:1059,LineaA:1061,12,12,15.004093453259447,15.004093453259447
LineaA:1059,LineaA:1061,13,2,2.5126958543609796,2.5126958543609796
LineaA:1059,LineaA:1061,14,6,7.494998648283319,6.245832206902766
LineaA:1059,LineaA:1061,15,5,6.274624174775299,5.01969933982024
LineaA:1059,LineaA:1061,16,3,3.775157266233074,2.5167715108220494
LineaA:1059,LineaA:1061,17,7,8.773932763217118,7.520513797043243
LineaA:1059,LineaA:1061,18,6,7.587327274990663,7.587327274990663
LineaA:1059,LineaA:1061,19,2,2.696798201410962,2.696798201410962
LineaA:1059,LineaA:1061,20,1,1.3922966401414678,1.3922966401414678
LineaA:1059,LineaA:1062,6,3,3.755504587155963,3.755504587155963
LineaA:1059,LineaA:1062,7,13,15.904924874791323,15.904924874791323
LineaA:1059,LineaA:1062,8,14,16.898931202656428,16.898931202656428
LineaA:1059,LineaA:1062,9,14,17.203862908244407,17.203862908244407
LineaA:1059,LineaA:1062,10,2,2.504739254816806,2.504739254816806
LineaA:1059,LineaA:1062,11,9,11.271954964176047,11.271954964176047
LineaA:1059,LineaA:1062,12,9,11.253070089944586,11.253070089944586
LineaA:1059,LineaA:1062,13,12,15.076175126165879,15.076175126165879
LineaA:1059,LineaA:1062,14,10,12.491664413805532,11.242497972424978
LineaA:1059,LineaA:1062,15,7,8.784473844685419,7.52954900973036
LineaA:1059,LineaA:1062,16,10,12.583857554110248,10.067086043288198
LineaA:1059,LineaA:1062,17,9,11.280770695564865,8.773932763217118
LineaA:1059,LineaA:1062,18,5,6.322772729158887,6.322772729158887
LineaA:1059,LineaA:1062,19,6,8.090394604232886,6.741995503527405
LineaA:1059,LineaA:1062,20,1,1.3922966401414678,1.3922966401414678
