linea,cabecera,hora,n,mediana,media,p10,p90,minimo,maximo,desvio
H,D,7,3545,206.0,219.9,188.0,291.0,115.0,629.0,46.5
H,D,8,3722,206.0,217.9,190.0,287.9,118.0,1222.0,48.9
H,D,9,3603,206.0,218.7,189.0,291.0,104.0,715.0,43.7
H,D,10,3710,206.0,218.0,182.0,286.3,109.0,698.0,46.4
H,D,11,3135,247.0,256.0,221.0,327.0,116.0,2475.0,59.0
H,D,12,3002,249.0,259.4,216.0,328.0,119.0,766.0,47.7
H,D,13,3120,247.5,258.1,214.0,326.1,51.0,2517.0,62.5
H,D,14,3083,244.0,249.7,198.0,330.0,105.0,1122.0,57.4
H,D,15,3730,206.0,223.1,181.0,292.0,121.0,7413.0,144.4
H,D,16,3548,207.0,219.4,181.0,288.0,112.0,781.0,47.4
H,D,17,3728,206.0,217.1,178.0,286.0,46.0,714.0,45.5
H,D,18,3571,206.0,219.1,176.0,290.0,66.0,1429.0,55.6
H,D,19,3699,206.0,220.4,178.0,291.0,102.0,1971.0,61.5
H,D,20,2563,294.0,307.3,250.0,381.0,122.0,913.0,59.6
H,D,21,2493,294.0,311.7,260.0,422.0,148.0,793.0,61.2
H,D,22,2517,294.0,312.6,263.0,430.0,97.0,697.0,61.3
H,D,23,2267,295.0,325.8,264.0,430.4,139.0,1131.0,69.0
