penalizacion_s,transbordos_medios,pares_sin_transbordo,tiempo_medio_s,cambian_camino,cambian_linea_ascenso
0.0,1.1661671661671662,1322,990.6625041625042,495,25
60.0,1.1385281385281385,1326,991.6811521811521,329,15
120.0,1.0837495837495839,1326,996.4217449217449,0,0
180.0,1.0679320679320679,1326,998.6630036630037,95,2
300.0,1.040959040959041,1326,1005.0452880452881,257,4
