penalizacion_s,wape_hpm,corr_hpm,sesgo_hpm,wape_hpt,corr_hpt,sesgo_hpt,err_reparto_medio,err_reparto_max,retiro_c,transbordos_medios
0,0.09174844216452514,0.9825717391830376,0.008509343184411433,0.11258030572297383,0.9654982457152549,-0.003374531497153166,0.12067168542467668,0.565967931556915,0.2937002172338885,0.516798845385349
10,0.09105779071249964,0.982989543880252,0.008449261435842903,0.11238671264378645,0.9656243832196705,-0.0034353750363264046,0.12245224840017555,0.565967931556915,0.2937002172338885,0.5161291882280558
20,0.09110108550049682,0.9829833196476894,0.008490746452711528,0.1117662448471082,0.9663349524980848,-0.0034616483827875077,0.12056626327740551,0.5452220952064444,0.3144460535843592,0.5150558027484954
30,0.06285183340120228,0.9946147978171029,0.011215882905636576,0.08682671782861281,0.9853163880348517,-0.0004526588091323669,0.09003287385271083,0.34283576175793784,0.6574583635047068,0.49054199922880637
40,0.06324109382840266,0.9945777444478953,0.011439043686033656,0.08722216817686357,0.9852180411175726,-0.0003116124228672579,0.08990845510682864,0.34283576175793784,0.6574583635047068,0.4887288480809004
50,0.06338986768200067,0.9945806677946517,0.011650760323846043,0.08657989629487782,0.9853873741820066,1.4730196334244994e-05,0.08990845510682864,0.34283576175793784,0.6574583635047068,0.48744755460304684
60,0.06478212606294466,0.9944084447042202,0.012208662274838522,0.08618362364047769,0.9846577881149611,0.0014030691356494707,0.08918998489570894,0.334932589435621,0.6574583635047068,0.48261369364272944
70,0.06517126685178931,0.9943040432457527,0.012838090116984002,0.08489140677996694,0.9849640957507252,0.0028024705366325176,0.07139905470287755,0.2022097852860969,0.6574583635047068,0.47617338076536736
80,0.06502372813520996,0.9943705736554529,0.013258662356963047,0.08469684364074469,0.9849842585865378,0.0030735008474946923,0.07139905470287755,0.2022097852860969,0.6574583635047068,0.4746781354520609
90,0.06525833305819143,0.994367905164551,0.013888090199108305,0.08409214392446479,0.9851093538351516,0.0033638904662758318,0.07139905470287755,0.2022097852860969,0.6574583635047068,0.45587575804827574
100,0.06525833305819143,0.9943743436243754,0.013936727805092364,0.08411426884780049,0.9850930463572928,0.0034357964671167807,0.07227776213661867,0.2022097852860969,0.6574583635047068,0.43581142744554807
110,0.06526119409383754,0.9943743614429041,0.013939588840738537,0.08411426884780049,0.9850930463572928,0.0034357964671167807,0.07227776213661867,0.2022097852860969,0.6574583635047068,0.43576912058543027
120,0.06544716141083505,0.9944109310663228,0.013939588840738537,0.08399258176945415,0.9851516492670309,0.0034523901596186235,0.07227776213661867,0.2022097852860969,0.6574583635047068,0.435078914381794
130,0.06514961370363904,0.9944537883118749,0.013939588840738537,0.08393173823028097,0.9851768915077325,0.0034523901596186235,0.07227776213661867,0.2022097852860969,0.6574583635047068,0.4345144199910793
140,0.06485778806773526,0.9944167903490454,0.013996809553660894,0.08394700824470225,0.9852373426752182,0.003585139699632922,0.07186388273915006,0.2022097852860969,0.6574583635047068,0.43341565039544827
150,0.06408934195777433,0.9945191048852947,0.014385910401532476,0.0834851504700695,0.9853351860641036,0.003908716703417525,0.07186388273915006,0.2022097852860969,0.6574583635047068,0.4319433716633486
160,0.06408934195777433,0.9945191048852947,0.014385910401532476,0.0834851504700695,0.9853351860641036,0.003908716703417525,0.07186388273915006,0.2022097852860969,0.6574583635047068,0.4319433716633486
170,0.06412828191182268,0.9945165742640454,0.014431686971870361,0.08302052708001982,0.9854708163796412,0.003986153935092496,0.07186388273915006,0.2022097852860969,0.6574583635047068,0.4316012904801103
180,0.06412828191182268,0.9945159968695272,0.014434548007516534,0.08314221415836616,0.985413019589614,0.004041466243431602,0.07186388273915006,0.2022097852860969,0.6574583635047068,0.43142722796991134
190,0.06316365943717693,0.9946967100172188,0.014895174746541118,0.08252030693137544,0.985629727635781,0.004409293093887712,0.07186388273915006,0.2022097852860969,0.6574583635047068,0.43033450221144004
200,0.06318082565105362,0.9946838384180394,0.014940951316879003,0.0824484009305344,0.9856371410361664,0.004436949248057376,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.43019912025906304
210,0.06318082565105362,0.9946840453750705,0.014946673388171128,0.08177717928835154,0.9858535135875637,0.004586292480573295,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.4297929744019321
220,0.06318082565105362,0.9946840453750705,0.014946673388171128,0.08177717928835154,0.9858535135875637,0.004586292480573295,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.4297929744019321
230,0.06373567715677583,0.9946264321635034,0.01523277695278269,0.08182142913502295,0.9858986605575405,0.004741166943923236,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.42923210631351316
240,0.06491956946966931,0.9945684540892447,0.01612542007437079,0.0818885463355482,0.9859785336063671,0.005736788494029588,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.42729082581782185
250,0.06491956946966931,0.9945684540892447,0.01612542007437079,0.0818885463355482,0.9859785336063671,0.005736788494029588,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.42729082581782185
260,0.06507903170798382,0.9945735176888966,0.016285638070553166,0.08176190081167778,0.9860646727940785,0.006632847889125548,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.42606150933954157
270,0.06514769656349059,0.9945574464260203,0.016680460989717094,0.0816273557162815,0.9861667913986166,0.0072219239729385265,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.424857576977332
280,0.06514769656349059,0.9945574464260203,0.016680460989717094,0.0816273557162815,0.9861667913986166,0.0072219239729385265,0.07147198989672114,0.2022097852860969,0.6574583635047068,0.42484428053558065
