linea,cabecera,hora,n,familia,aic,ks_d,ks_p,chi2,chi2_gl,chi2_p,media_ajustada,media_obs,cv_obs
C,A,11,1379,lognormal,15282.5,0.0194341,0.667436,47.0964,34,0.066911,260.864,260.962,0.252026
C,A,12,1370,lognormal,15033.4,0.0304158,0.155277,62.5372,33,0.00142814,259.394,259.396,0.234181
C,A,13,1365,lognormal,15144.1,0.0239331,0.40851,47.5451,33,0.0485676,262.803,262.928,0.253475
C,A,14,1607,lognormal,17674.9,0.0642299,3.3074e-06,211.293,36,1.11696e-26,227.92,228.172,0.285353
C,A,15,1869,lognormal,19158,0.0893161,2.01007e-13,315.012,38,2.47326e-45,192.034,192.274,0.237864
C,A,16,1847,lognormal,19084.5,0.081678,3.63125e-11,321.427,38,1.4348e-46,193.258,193.508,0.245318
C,A,17,1827,lognormal,19221.5,0.0991198,4.45588e-16,505.961,38,4.10382e-83,194.354,194.811,0.280845
C,A,18,1802,lognormal,19415.1,0.10401,1.99332e-17,557.98,38,1.20028e-93,199.524,200.189,0.321218
C,A,19,1818,lognormal,19413.5,0.0967473,2.90714e-15,407.547,38,1.99802e-63,198.024,198.44,0.29231
C,A,20,1241,lognormal,14494.4,0.0388525,0.0459601,59.133,32,0.00244427,283.564,283.398,0.309338
C,A,21,1206,gamma,13759.6,0.0210427,0.651613,31.7695,32,0.47822,300.444,300.444,0.244129
C,A,22,1184,gamma,13537.9,0.0264832,0.370916,39.3108,31,0.145331,301.415,301.415,0.247342
C,A,23,373,lognormal,4538.62,0.0519554,0.25734,45.2359,19,0.000635139,366.839,367.29,0.32888
C,D,5,585,lognormal,6227.5,0.0577526,0.038806,46.7778,23,0.00239084,282.662,282.65,0.181322
C,D,6,1653,lognormal,17914.2,0.0289819,0.122039,87.7967,36,3.23125e-06,218.439,218.397,0.259364
C,D,7,1874,lognormal,19282.2,0.0571538,9.20734e-06,175.825,38,1.27237e-19,191.781,191.808,0.226901
C,D,8,1874,lognormal,19584.2,0.0424355,0.00227371,122.179,38,9.07466e-11,192.097,192.202,0.255381
C,D,9,1859,lognormal,19507.3,0.0516381,9.51548e-05,168.835,38,2.04107e-18,191.692,191.985,0.273774
C,D,10,1499,lognormal,16808.5,0.0292656,0.150376,56.0087,35,0.0135451,239.231,239.298,0.295852
C,D,11,1402,gamma,15593.5,0.048353,0.00274692,99.2183,34,2.67211e-08,258.322,258.322,0.250054
C,D,12,1378,lognormal,15249.5,0.078384,8.23197e-08,121.332,34,9.75502e-12,259.214,259.144,0.247797
C,D,13,1354,gamma,15043.3,0.050197,0.00209855,106.898,33,9.99247e-10,265.439,265.439,0.242221
C,D,14,1504,lognormal,16784.2,0.0412683,0.0115809,86.6941,35,2.82482e-06,238.615,238.663,0.28779
C,D,15,1856,lognormal,19070.4,0.0516641,9.57279e-05,142.838,38,4.66533e-14,192.708,192.754,0.225723
C,D,16,1844,lognormal,19038.5,0.0512378,0.000120039,171.982,38,5.87279e-19,193.625,193.685,0.231437
C,D,17,1834,lognormal,19099.9,0.0511229,0.000132108,151.08,38,2.04294e-15,197.147,197.367,0.252295
C,D,18,1813,lognormal,19270.8,0.0620713,1.6267e-06,235.394,38,2.6517e-30,198.686,199.015,0.285684
C,D,19,1821,lognormal,19240.7,0.0419244,0.00322143,99.3355,38,2.19252e-07,195.733,195.938,0.272012
C,D,20,1380,gamma,15897.2,0.0326822,0.102588,54.5275,34,0.0142176,257.92,257.92,0.310569
C,D,21,1191,gamma,13444.8,0.0278545,0.308133,31.0873,31,0.461818,301.81,301.81,0.228195
C,D,22,1189,gamma,13504.7,0.0521415,0.00299891,75.6913,31,1.31796e-05,299.633,299.633,0.236603
C,D,23,644,lognormal,7525.7,0.0371436,0.328567,28.736,24,0.230224,337.218,337.495,0.271717
D,A,5,546,gamma,6303.06,0.13408,5.07349e-09,425.52,22,2.18482e-76,353.533,353.533,0.228417
D,A,6,1388,gamma,16005.5,0.0813952,1.90355e-08,242.239,34,2.95226e-33,291.687,291.687,0.267178
D,A,7,1851,lognormal,20231.7,0.0606908,2.27682e-06,242.968,38,1.05701e-31,226.039,225.96,0.268095
D,A,8,1970,lognormal,21747.6,0.0249742,0.168373,41.2244,39,0.373556,210.191,210.556,0.334601
D,A,9,1939,lognormal,21316.3,0.0381126,0.00696744,119.78,39,3.84073e-10,212.339,212.741,0.319412
D,A,10,1728,lognormal,19525.2,0.0254972,0.207677,63.25,37,0.0045818,232.889,233.223,0.33592
D,A,11,1762,lognormal,20141.8,0.0425269,0.00331183,84.084,37,1.59542e-05,235.849,236.477,0.366741
D,A,12,1737,lognormal,19414.9,0.038232,0.0121401,87.8705,37,5.05465e-06,237.883,238.273,0.310131
D,A,13,1734,lognormal,19532,0.0329492,0.0453071,85.2388,37,1.12739e-05,235.796,236.257,0.329168
D,A,14,1854,lognormal,20693.8,0.0391098,0.00669853,117.671,38,4.46138e-10,223.716,224.017,0.327061
D,A,15,1934,lognormal,21098.7,0.0485692,0.000210193,208.304,39,5.43514e-25,213.123,213.494,0.303712
D,A,16,1936,lognormal,21158.7,0.0687138,2.15728e-08,190.64,39,7.36883e-22,212.408,212.931,0.316305
D,A,17,1968,lognormal,21338.5,0.0377425,0.00715471,108.396,39,1.87684e-08,209.553,209.841,0.293308
D,A,18,1874,lognormal,20728.7,0.0246766,0.200559,73.1281,38,0.000530507,222.008,222.329,0.309508
