linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente,direction_id,carga_predicha,comparable,dif
LineaB,HPM,Alem,10,LineaB:1083,Gallardo,933.0,276.54907888590526,11350.794090238052,1.0,11289.0,True,-61.79409023805238
LineaB,HPM,Alem,11,LineaB:1084,Malabia,1208.0,293.8333963162744,10694.343169123958,1.0,10545.0,True,-149.34316912395843
LineaB,HPM,Alem,12,LineaB:1082,Dorrego,914.073097114186,79.61488757212537,9780.176565440233,1.0,9498.0,True,-282.1765654402334
LineaB,HPM,Alem,13,LineaB:1081,Lacroze,3072.276099913745,50.10335988487669,8945.718355898172,1.0,8690.0,True,-255.71835589817238
LineaB,HPM,Alem,14,LineaB:1080,Tronador,408.2190266323871,43.052688348566654,5923.545615869305,1.0,5675.0,True,-248.54561586930504
LineaB,HPM,Alem,15,LineaB:1079,LosIncas,1031.903057903999,21.32321127853253,5558.3792775854845,1.0,5342.0,True,-216.3792775854845
LineaB,HPM,Alem,16,LineaB:1078,Echeverria,864.4747834058946,1.444570663809407,4547.799430960018,1.0,4487.0,True,-60.79943096001807
LineaB,HPM,Alem,17,LineaB:1077,JMRosas,3684.769218217933,0.0,3684.769218217933,1.0,3672.0,True,-12.76921821793303
LineaB,HPM,JMRosas,1,LineaB:1093,Alem,1681.727674122787,0.0,1681.727674122787,0.0,1333.0,True,-348.727674122787
LineaB,HPM,JMRosas,2,LineaB:1092,Florida,116.0198482151361,102.36563352296406,1695.381888814959,0.0,1306.0,True,-389.381888814959
LineaB,HPM,JMRosas,3,LineaB:1091,Pellegrini,2174.633169265305,95.54050895569935,3774.4745491245644,0.0,3981.0,True,206.52545087543558
LineaB,HPM,JMRosas,4,LineaB:1090,Uruguay,237.1006821381415,262.49675321951526,3749.078478043191,0.0,4006.0,True,256.9215219568091
LineaB,HPM,JMRosas,5,LineaB:1089,CallaoB,361.0,278.09343840374504,3831.9850396394463,0.0,4035.0,True,203.0149603605537
LineaB,HPM,JMRosas,6,LineaB:1088,Pasteur,204.0,229.02540160635039,3806.959638033096,0.0,4023.0,True,216.04036196690413
LineaB,HPM,JMRosas,7,LineaB:1087,Pueyr,1336.08507001353,283.669256561669,4859.375451484957,0.0,5222.0,True,362.624548515043
LineaB,HPM,JMRosas,8,LineaB:1086,Gardel,125.0,270.6629258653279,4713.712525619629,0.0,4934.0,True,220.28747438037135
LineaB,HPM,JMRosas,9,LineaB:1085,Medrano,246.0,581.4799830024581,4378.23254261717,0.0,4553.0,True,174.7674573828299
LineaB,HPM,JMRosas,10,LineaB:1083,Gallardo,183.0,376.24066290499485,4184.991879712175,0.0,4149.0,True,-35.99187971217543
LineaB,HPM,JMRosas,11,LineaB:1084,Malabia,146.0,694.8934692428986,3636.098410469277,0.0,3420.0,True,-216.09841046927704
LineaB,HPM,JMRosas,12,LineaB:1082,Dorrego,33.459044287899,697.596891616255,2971.960563140921,0.0,2734.0,True,-237.96056314092084
LineaB,HPM,JMRosas,13,LineaB:1081,Lacroze,38.20541666349302,814.7912698431552,2195.3747099612588,0.0,1937.0,True,-258.37470996125876
LineaB,HPM,JMRosas,14,LineaB:1080,Tronador,7.780973367612985,561.6220747828783,1641.5336085459935,0.0,1489.0,True,-152.5336085459935
LineaB,HPM,JMRosas,15,LineaB:1079,LosIncas,14.09694209600133,458.07417574939797,1197.556374892597,0.0,1103.0,True,-94.55637489259698
LineaB,HPM,JMRosas,16,LineaB:1078,Echeverria,1.525216594105375,327.92710861719326,871.1544828695091,0.0,891.0,True,19.84551713049086
LineaB,HPM,JMRosas,17,LineaB:1077,JMRosas,0.0,871.1544828695095,0.0,0.0,0.0,False,0.0
LineaC,HPM,Constitucion,1,LineaC:1094,Constitucion,0.0,1234.294363035304,0.0,0.0,0.0,False,0.0
LineaC,HPM,Constitucion,2,LineaC:1095,SanJuan,5.404592791481045,485.1797802627676,1234.294363035303,0.0,1007.0,True,-227.29436303530292
LineaC,HPM,Constitucion,3,LineaC:1096,Indepen,157.5233775264987,887.0140741502402,1714.0695505065896,0.0,1395.0,True,-319.0695505065896
LineaC,HPM,Constitucion,4,LineaC:1097,Mariano Moreno,51.0,478.2370155256983,2443.560247130331,0.0,1721.0,True,-722.5602471303309
LineaC,HPM,Constitucion,5,LineaC:1098,AVMayo,586.3288419251926,590.3840404972286,2870.7972626560295,0.0,2387.0,True,-483.7972626560295
LineaC,HPM,Constitucion,6,LineaC:1099,DNorte,1401.5578736144,629.4441287133172,2874.8524612280657,0.0,2368.0,True,-506.85246122806575
LineaC,HPM,Constitucion,7,LineaC:1100,Lavalle,84.39503779907069,160.27945184941214,2102.7387163269827,0.0,1434.0,True,-668.7387163269827
LineaC,HPM,Constitucion,8,LineaC:1101,SanMartin,65.0,29.709476608141166,2178.623130377324,0.0,1481.0,True,-697.6231303773238
LineaC,HPM,Constitucion,9,LineaC:1102,Retiro,2143.332606985465,0.0,2143.332606985465,0.0,1412.0,True,-731.3326069854652
LineaC,HPM,Retiro,1,LineaC:1094,Constitucion,12010.57530146549,0.0,12010.57530146549,1.0,12007.0,True,-3.5753014654892468
LineaC,HPM,Retiro,2,LineaC:1095,SanJuan,309.4462962969459,71.20369195840274,12248.817905804033,1.0,12289.0,True,40.18209419596678
LineaC,HPM,Retiro,3,LineaC:1096,Indepen,381.0,804.9730591413285,11824.844846662705,1.0,11553.0,True,-271.8448466627051
LineaC,HPM,Retiro,4,LineaC:1097,Mariano Moreno,75.0,330.7411431364498,11569.103703526256,1.0,11312.0,True,-257.10370352625614
LineaC,HPM,Retiro,5,LineaC:1098,AVMayo,896.5690659629813,2158.9796383080325,10306.693131181206,1.0,9880.0,True,-426.6931311812059
LineaC,HPM,Retiro,6,LineaC:1099,DNorte,349.4507837926583,6133.959175221769,4522.184739752094,1.0,4058.0,True,-464.1847397520942
LineaC,HPM,Retiro,7,LineaC:1100,Lavalle,12.60496220092931,1043.0525911272528,3491.737110825771,1.0,2889.0,True,-602.7371108257712
LineaC,HPM,Retiro,8,LineaC:1101,SanMartin,11.0,879.1660869075927,2623.5710239181785,1.0,2043.0,True,-580.5710239181785
LineaC,HPM,Retiro,9,LineaC:1102,Retiro,0.0,2623.571023918176,0.0,1.0,0.0,False,0.0
LineaD,HPM,Catedral,1,LineaD:1118,Catedral,0.0,4221.389559982863,0.0,1.0,0.0,False,0.0
LineaD,HPM,Catedral,2,LineaD:1117,9 de julio,598.4339317625083,2336.326801138234,4221.389559982861,1.0,4107.0,True,-114.3895599828611
LineaD,HPM,Catedral,3,LineaD:1116,Tribuna,66.71242359158806,1025.558518093421,5959.282429358586,1.0,5700.0,True,-259.28242935858634
LineaD,HPM,Catedral,4,LineaD:1115,CallaoD,152.7161576968771,814.4137952420156,6918.12852386042,1.0,6600.0,True,-318.1285238604196
LineaD,HPM,Catedral,5,LineaD:1114,FMedicina,150.0,411.10763542621123,7579.826161405558,1.0,7367.0,True,-212.8261614055582
LineaD,HPM,Catedral,6,LineaD:1113,Pueyrredon,1043.236067052801,1268.7324232487524,7840.9337968317695,1.0,7835.0,True,-5.933796831769541
