comp_origen,comp_destino,paso5,sbase,nombre_origen,nombre_destino
LineaA:1059,LineaE:1166,122.24548651238032,267.0,San Pedrito,Correo Central / Leandro N. Alem
LineaA:1059,LineaH:1134,45.34628387129777,134.0,San Pedrito,Hospitales
LineaA:1059,LineaH:1135,34.9967328223629,183.0,San Pedrito,Parque Patricios
LineaA:1059,LineaH:1136,38.99523617630873,128.0,San Pedrito,Caseros
LineaA:1059,LineaH:1137,27.633123152253773,118.0,San Pedrito,Inclan
LineaA:1059,LineaH:1138,28.96527949017067,139.0,San Pedrito,Humberto 1 / Jujuy
LineaA:1059,LineaH:1139,46.20479563170761,111.0,San Pedrito,Venezuela
LineaA:1059,LineaH:1140,509.98282423985535,1389.0,San Pedrito,Once / Plaza Miserere
LineaA:1059,LineaH:1141,73.97360225292185,307.0,San Pedrito,Corrientes / Pueyrredon
LineaA:1059,LineaH:1160,114.22988688951112,297.0,San Pedrito,Cordoba
LineaA:1059,LineaH:1161,117.3885667280892,510.0,San Pedrito,Pueyrredon / Santa Fe
LineaA:1059,LineaH:1162,142.38160081917803,461.0,San Pedrito,Las Heras
LineaA:1059,LineaH:1163,37.38866986402139,181.0,San Pedrito,Facultad de Derecho
LineaA:1060,LineaA:1059,321.5349451954785,131.0,San Jose de Flores,San Pedrito
LineaA:1060,LineaA:1061,254.61502653345607,119.0,San Jose de Flores,Carabobo
LineaA:1060,LineaA:1062,167.55985518360345,160.0,San Jose de Flores,Puan
LineaA:1060,LineaA:1063,423.2989461356859,390.0,San Jose de Flores,Primera Junta
LineaA:1060,LineaA:1064,627.106648972648,464.0,San Jose de Flores,Acoyte
LineaA:1060,LineaA:1065,537.7959905926053,379.0,San Jose de Flores,Rio de Janeiro
LineaA:1060,LineaA:1066,653.7875091163938,374.0,San Jose de Flores,Castro Barros
LineaA:1060,LineaA:1067,467.69442592941334,246.0,San Jose de Flores,Loria
LineaA:1060,LineaA:1069,605.8819676559973,376.0,San Jose de Flores,Alberti
LineaA:1060,LineaA:1070,190.70123515932153,23.0,San Jose de Flores,Pasco
LineaA:1060,LineaA:1071,1476.1464018269826,679.0,San Jose de Flores,Congreso
LineaA:1060,LineaA:1072,805.38351415857,403.0,San Jose de Flores,Saenz Peña
LineaA:1060,LineaA:1074,663.9809686514366,388.0,San Jose de Flores,Piedras
LineaA:1060,LineaA:1076,1889.155591698192,1109.0,San Jose de Flores,Plaza de Mayo
LineaA:1060,LineaB:1077,27.598478434787705,29.0,San Jose de Flores,Juan Manuel de Rosas
LineaA:1060,LineaB:1078,4.986801159613934,9.0,San Jose de Flores,Echeverria
LineaA:1060,LineaB:1079,11.20928443489015,1.0,San Jose de Flores,De Los Incas - Parque Chas
LineaA:1060,LineaB:1080,11.39478451941592,5.0,San Jose de Flores,Tronador - Villa Ortuzar
LineaA:1060,LineaB:1081,42.49416044311404,13.0,San Jose de Flores,Federico Lacroze
LineaA:1060,LineaB:1082,33.71202640790614,29.0,San Jose de Flores,Dorrego
LineaA:1060,LineaB:1083,63.45548803587844,26.0,San Jose de Flores,angel Gallardo
LineaA:1060,LineaB:1084,54.759178263764966,10.0,San Jose de Flores,Malabia
LineaA:1060,LineaB:1085,152.39203126808655,44.0,San Jose de Flores,Medrano
LineaA:1060,LineaB:1086,125.08622539592581,57.0,San Jose de Flores,Carlos Gardel
LineaA:1060,LineaB:1088,121.81032837062023,15.0,San Jose de Flores,Pasteur
LineaA:1060,LineaB:1089,181.3767766067432,40.0,San Jose de Flores,Callao [B]
LineaA:1060,LineaB:1090,148.1671441400051,41.0,San Jose de Flores,Uruguay
LineaA:1060,LineaB:1092,145.52592334298404,69.0,San Jose de Flores,Florida
LineaA:1060,LineaC:1094,1793.1622763144744,706.0,San Jose de Flores,Constitucion
LineaA:1060,LineaC:1095,107.96913791878768,58.0,San Jose de Flores,San Juan
LineaA:1060,LineaC:1097,84.00198853524505,32.0,San Jose de Flores,Moreno
LineaA:1060,LineaC:1098,807.0943183603239,517.0,San Jose de Flores,Avenida de Mayo / Lima
LineaA:1060,LineaC:1100,239.95252459104222,91.0,San Jose de Flores,Lavalle
LineaA:1060,LineaC:1101,213.48153284383903,97.0,San Jose de Flores,General San Martin
LineaA:1060,LineaD:1103,83.4414823997436,78.0,San Jose de Flores,Congreso de Tucuman
